,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
105,10_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:23,-68.0,1.4,Foreground,0.85,146.0
106,10_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:23,-84.0,13.6,Foreground,0.85,166.0
107,10_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:52:23,-87.0,18.6,Foreground,0.85,152.0
108,10_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:23,-90.0,29.5,Foreground,0.85,160.0
109,615_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:23,-61.0,0.7,Foreground,0.85,148.0
110,615_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:23,-85.0,11.4,Foreground,0.85,168.0
111,615_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:23,-91.0,22.6,Foreground,0.85,154.0
112,615_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:23,-93.0,25.9,Foreground,0.85,162.0
113,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:23,-68.0,0.9,Foreground,0.85,148.0
114,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:23,-69.0,1.1,Foreground,0.85,150.0
115,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:23,-74.0,2.9,Foreground,0.85,146.0
116,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:23,-80.0,12.7,Foreground,0.85,170.0
117,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:52:23,-90.0,21.2,Foreground,0.85,152.0
118,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:23,-93.0,21.3,Foreground,0.85,156.0
119,537_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160.0,2021-08-24 11:52:23,-94.0,41.7,Foreground,0.85,160.0
120,145_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:23,-72.0,1.4,Foreground,0.85,150.0
121,145_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:23,-87.0,15.8,Foreground,0.85,170.0
122,145_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165.0,2021-08-24 11:52:23,-94.0,32.3,Foreground,0.85,164.0
123,932_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:24,-84.0,1.9,Foreground,0.85,146.0
124,932_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:24,-83.0,12.8,Foreground,0.85,166.0
